Place,City,Country,Continent,Visitors_per_year_millions,Average_Spend_USD,Rating,Historical_Significance,Popular_Season,World_Ranking
Taj Mahal,Cusco,China,Europe,99.18727914332474,2703.3356821268035,3.3116572557309785,False,Spring,555
Machu Picchu,Rome,Greece,North America,22.282034718467052,344.5206760407704,1.323646126120376,True,Spring,500
Great Wall of China,Paris,USA,Europe,85.87949732408602,3940.1240426499667,3.7620305095498425,True,Winter,154
Santorini,Rome,Greece,Asia,92.45684332346119,4258.806615274748,3.265772418789657,True,Summer,977
Eiffel Tower,Beijing,France,Europe,24.43190576440208,2825.6200390256063,2.4086046648030943,True,Spring,448
Colosseum,Anaheim,Canada,Europe,90.43984149422019,594.3959530091129,2.144049679947614,False,Spring,265
Machu Picchu,Paris,France,Europe,85.12351594867657,1986.151976326103,1.2692716203066765,True,Summer,862
Eiffel Tower,Ontario,USA,Europe,18.06938013370689,674.7665448418006,1.7193196553275927,True,Spring,78
Great Wall of China,Beijing,France,North America,11.178138227076978,3014.397236791103,1.5030654285816345,True,Summer,995
Louvre Museum,New York,Peru,Asia,54.119628366174716,2637.478908896971,3.9287525116027355,True,Summer,776
Machu Picchu,Beijing,Greece,Asia,81.28118329401906,1289.357516594475,2.157342586717213,True,Spring,895
Statue of Liberty,Cusco,France,Europe,88.2496459356351,4175.384279967704,4.574174253954727,True,Winter,555
Machu Picchu,Paris,Greece,North America,79.47054969587444,3007.0297835235433,4.116316264697614,False,Spring,709
Louvre Museum,Paris,USA,North America,6.475166537910941,3041.3192943495574,2.369043146450781,False,Summer,223
Eiffel Tower,Ontario,Greece,Asia,37.092043571164005,2937.0427409279464,1.1658891160393532,True,Fall,117
Santorini,Anaheim,India,North America,89.22038094597512,137.28934235245248,2.309516689735974,True,Summer,991
Niagara Falls,Paris,India,South America,97.29949551169612,55.73906866924597,2.3123138798776517,False,Spring,535
Statue of Liberty,Paris,Canada,North America,9.298760951936064,3584.32116556946,3.679493106328586,True,Fall,335
Niagara Falls,Santorini,USA,Europe,81.7747249551373,207.83327606414977,4.976506567578527,True,Spring,769
Louvre Museum,Beijing,India,South America,91.82134820858474,2199.238940449901,2.1685542244389997,False,Fall,762
Eiffel Tower,Agra,USA,North America,57.15185023156205,925.1223031210067,1.2305538747100275,True,Spring,402
Louvre Museum,Paris,France,North America,88.14773762038303,4942.82184537089,2.2915094446245146,False,Spring,857
Great Wall of China,New York,USA,North America,45.04848298687111,3719.7993598011026,3.7380025595666724,True,Spring,478
Machu Picchu,Cusco,Canada,North America,37.412586695155596,4289.728842699626,1.519284371663569,False,Spring,764
Machu Picchu,Ontario,China,Europe,39.562169357456796,1051.1757961460976,4.300948092064003,False,Spring,665
Taj Mahal,Beijing,France,North America,57.834613741291655,3672.499272307831,3.2950587390800163,False,Winter,808
Niagara Falls,Cusco,Greece,Europe,30.681006953439187,1542.8122260821,1.0248126276764586,True,Fall,751
Disneyland,Paris,Italy,Europe,4.910791844538584,2837.2312350793973,1.315736455284727,True,Fall,902
Eiffel Tower,Ontario,Greece,Europe,79.00435375571745,1545.7540798933578,4.858042602387486,False,Fall,868
Santorini,Anaheim,Italy,Asia,96.69913295949418,2057.1706255401823,4.396700026743028,True,Fall,270
Disneyland,Anaheim,India,South America,72.93291293383687,3799.5565793095634,4.886998389644446,False,Summer,424
Great Wall of China,Paris,Canada,South America,14.315922952540975,589.4607470536293,2.4978314551662555,False,Fall,901
Taj Mahal,Paris,Italy,Europe,46.231275142874,3015.0161919416228,3.131285413451403,False,Summer,696
Eiffel Tower,Cusco,Italy,Europe,3.7246268631916077,3786.8382818883747,1.3328547791065786,True,Spring,441
Machu Picchu,Paris,Greece,Europe,17.786780416123857,4566.815302757028,1.1511159875526635,False,Spring,987
Niagara Falls,Anaheim,Italy,Europe,79.8862030141849,1752.6679519664842,2.4037687014015994,True,Summer,696
Statue of Liberty,Anaheim,USA,Europe,22.004018311480333,1927.1948712134388,3.646421412537775,False,Spring,699
Niagara Falls,Ontario,Canada,Europe,32.15056745152596,4601.397632805628,2.2161581354085613,True,Winter,372
Niagara Falls,Anaheim,China,North America,31.63389308049801,4180.517464308295,3.855843464705242,False,Fall,272
Niagara Falls,Beijing,Peru,Asia,97.88619980892568,1318.648701960839,3.450993378573141,True,Spring,981
Statue of Liberty,Paris,France,North America,88.92640588022759,3060.65096522631,2.8863415583919565,False,Summer,841
Taj Mahal,New York,France,Europe,73.18064678192943,4437.681877759089,4.448350827235926,True,Spring,473
Great Wall of China,Anaheim,France,Europe,10.523327762522788,4146.2038782016525,2.126876991865682,False,Summer,979
Santorini,Cusco,Peru,Europe,30.17812183489565,2181.8598631791065,1.634207168908901,True,Fall,624
Santorini,Paris,France,Asia,39.196315553196904,4782.832421157817,1.0611055773883926,False,Spring,826
Louvre Museum,Rome,USA,Europe,34.744267870374436,211.0633038982061,2.338313752352806,False,Spring,555
Louvre Museum,Beijing,India,South America,61.66413932008259,2672.6808664323335,1.394090047770399,True,Spring,672
Louvre Museum,Cusco,France,South America,60.92267601244747,4513.317665790146,2.0523350493028154,False,Summer,427
Louvre Museum,Cusco,Italy,Europe,28.41636139907306,4049.6870106332462,1.4008397365744845,True,Summer,212
Santorini,Agra,China,North America,91.38256228483843,3353.0795469797954,4.069276531742272,False,Spring,196
Machu Picchu,Paris,Italy,Europe,22.796881521018378,2275.3581839058866,4.0805314761478115,False,Summer,205
Colosseum,Beijing,Italy,South America,50.362440158508775,403.93741888251,1.67397932646245,False,Fall,525
Santorini,New York,Italy,South America,36.95673573922472,3144.8625491496723,1.9433774703151698,False,Fall,165
Statue of Liberty,Santorini,France,Europe,28.15453377022999,797.0526527933903,3.9005657054157084,True,Spring,475
Santorini,Paris,France,Asia,31.41883608043962,4935.15802734401,1.8213435515904624,True,Spring,941
Machu Picchu,Agra,USA,Europe,59.412664328645114,282.27830229840987,3.272644446493139,True,Spring,109
Statue of Liberty,Paris,France,South America,22.611303246681516,2019.9053312048707,1.5385312073246151,False,Fall,188
Statue of Liberty,Anaheim,USA,North America,29.231191424114886,380.7828282840137,2.6920167308656464,True,Summer,214
Machu Picchu,Beijing,France,Asia,1.8718733271736179,4072.2032567214815,3.1036498677617677,True,Summer,162
Eiffel Tower,Paris,France,Europe,57.025575340622645,2288.5556037303404,1.018902562039691,True,Spring,109
